Row,Day,Event,slice,model_pred,margin,vocab_hits,dupe
1,1,Short Film Premiere - Jeevan Marana Porattam (Life Death Showdown),train,For Families,0.04,15,
2,1,Mini Camp at Ansley Grove Library,gate,For Families,0.91,9,
3,1,Family Adventures: STEAM Fest,gate,For Families,0.843,35,
4,1,Canada Day Family Glow Lab: Body Butter + Lip Gloss Making,gate,For Families,0.897,14,
5,1,Royal Canadian Circus - Markham | Markham,gate,For Golden Age Readers,0.499,11,
6,1,First Day Preview: Markham Edition Info,train,For Couples,0.004,5,
7,1,Markham Unionville Rotary Charity Car Wash 2026,train,For Families,0.03,5,
8,1,Young Founder Co. Week 4 — Lemonade Stand Live,gate,For Families,0.558,9,
9,1,FITNWELL POOLSIDE FINALE | PRE-LAUNCH PREVIEW,train,For Couples,0.063,10,
10,1,Charity car wash,train,For Families,0.078,4,
11,1,"Effective Vendor Management Training — Markham, ON | 1 Day Workshop",train,For Families,0.043,8,
12,1,Geocaching & Orienteering with BIAYR,train,For Families,0.01,6,
13,1,Camp Gyalventure: Youth Summer Experience,train,For Couples,0.097,16,
14,1,Strings & Swing: A Jazz Afternoon at APL,gate,For Couples,0.066,9,
15,1,Table No. 7 Fresh Handmade Egg-Pasta Workshop Friday Night,gate,For Golden Age Readers,0.081,18,
16,1,Sunday Creative Escape,train,For Golden Age Readers,0.001,3,
17,1,Mindful Moments: Beaded Plant (For Adults),train,For Families,0.067,5,
18,1,Soeulful Cooking: Korean Classics,train,For Families,0.073,37,
19,1,ORCCR Series: Summertime Frogs,train,For Golden Age Readers,0.088,11,
20,1,2026 Indigenous Hockey Equipment Drive Golf Tournament,train,For Couples,0.03,7,
21,1,Platforming With Pixicade,train,For Families,0.041,16,
22,1,"Canadian Blood Services, Donor Centre",train,For Golden Age Readers,0.103,16,
23,1,Mindfulness Yoga for Adults with Paola Ronchetti,gate,For Golden Age Readers,0.654,8,
24,1,"Internet Marketing Fundamentals Training – Vaughan, ON | 1 Day Workshop",train,For Golden Age Readers,0.033,6,
25,1,GODfidence Conference 2026,train,For Golden Age Readers,0.052,3,
26,1,Cracking Plant-based Eggs,gate,For Families,0.24,7,PAIR
27,1,Alone in the Dark,train,For Couples,0.024,16,
28,1,Computer Cartoon Animation Camp (Age 6-11),gate,For Families,0.553,25,PAIR
29,1,Spring Colours - Album Release Show with Mayraki & otsyuda,train,For Couples,0.059,16,
30,1,Unbreakable Minds Community Event,train,For Golden Age Readers,0.036,3,
31,1,LEGO® FIFA Mini Trophy at Staples Store 19,gate,For Families,0.543,9,PAIR
32,1,STEAM Fair 🧪🎨⚙️,gate,For Golden Age Readers,0.116,8,PAIR
33,1,Bona Sport Program: Hands-On Training (WCON),gate,For Golden Age Readers,0.054,7,
34,1,TPM North June 20 - Shabbat Korach,train,For Golden Age Readers,0.057,4,
35,1,Love as a Foreign Language - Summer of Love Book Tour,train,For Couples,0.032,12,
36,1,"Zumba Instructor Training with Ricardo Marmitte in Vaughan , ON, CA",gate,For Couples,0.222,10,
37,1,Mama$ita | Gemini Affair Friday June 12th | Toop Lounge,gate,For Golden Age Readers,0.019,8,
38,1,Summer Fun Nights: Movie & Food Trucks,gate,For Families,0.142,15,
39,1,🎲 Backgammon Day Tournament – June 21st at Global Link,train,For Couples,0.016,6,
40,1,Mary Poppins - Dance Performance,train,For Couples,0.107,13,
41,1,Pickleball Dating Event (Ages 30–49),train,For Families,0.036,9,
42,1,Sister Act Musical - FINAL Night,train,For Couples,0.103,7,
43,1,"Human Resource Management Training — Vaughan, ON | 1 Day Workshop",train,For Couples,0.095,6,
44,1,🌞❄️ GREAT TEXAS SNOWBALL FIGHT ❄️🌞,gate,For Couples,0.029,2,PAIR
45,1,Let's Cook Vadai,gate,For Families,0.159,8,PAIR
46,1,Delmanor Peaches and Cream,train,For Golden Age Readers,0.02,0,
47,1,Helen Snare Memorial Tournament,gate,For Families,0.008,8,PAIR
48,1,Caribbean Investment Showcase,train,For Families,0.037,6,
49,1,European Speed Dating Vaughan (Ages 32-45),train,For Golden Age Readers,0.0,16,
50,1,Muslim Professionals /Business Network *NORTH YORK* - June edition,train,For Golden Age Readers,0.099,11,
51,1,Frog Watch | Cold Creek Conservation Area,gate,For Couples,0.112,7,PAIR
52,1,Global Running Day Social 5k,gate,For Golden Age Readers,0.229,9,PAIR
53,1,Greater Toronto Sports Card Show Vaughan Edition,gate,For Families,0.516,11,
54,1,Origami Fun for Beginners,train,For Families,0.006,10,
55,1,Mini Robotics Club,train,For Families,0.035,22,
56,1,Kt x MOVE: Canada's Wonderland Takeover,gate,For Families,0.587,7,
57,1,Live in the Plaza,train,For Families,0.037,14,
58,1,"Scent, Sip & Soca: A Caribbean-Inspired Perfume-Making Experience",gate,For Couples,0.586,9,
59,1,Toying Around Toy-Con,gate,For Golden Age Readers,0.255,10,
60,1,Wednesday Night Laughs! (Comedy Open Mic),train,For Golden Age Readers,0.052,7,
61,1,Bollywood Boom Friday Night (Tickets Redeemable Inside),gate,For Couples,0.705,13,PAIR
62,1,YouTube AI Production Studio (Aug 10-14:AM),gate,For Families,0.351,7,PAIR
63,1,Sublimation Photo Mugs,train,For Golden Age Readers,0.028,4,
64,1,Violences conjugales invisibilisées : contrôle coercitif et handicap,gate,For Couples,0.425,2,PAIR
65,1,Gospel Music & The Pop Music of The 50s & 60s with Tom Locke,gate,For Couples,0.043,10,PAIR
66,1,Bark In The Dark Pride 2026,train,For Families,0.089,6,
67,1,CCSAI goes to Canada's Wonderland 2026,train,For Golden Age Readers,0.087,9,
68,1,Cansel Subsurface Tech Expo 2026 - Toronto,gate,For Golden Age Readers,0.223,6,PAIR
69,1,Advance Care Planning Workshop,gate,For Golden Age Readers,0.532,2,
70,1,6STREET STARZ 1V1 FACEOFF,gate,For Couples,0.682,5,
71,1,PSW Teaching Summit (Summer 2026) - Room MH 1540,gate,For Couples,0.261,7,
72,1,T-Shirt Design with Procreate ( 9-12 yrs),gate,For Families,0.613,5,
73,1,String in Bloom - Canadian Legends,train,For Golden Age Readers,0.037,41,
74,1,Festival of Praise,gate,For Families,0.459,4,PAIR
75,1,Vaughan Celebrates Concerts in the Park: Beach Party Boys: Tribute to the Beach Boys,train,For Couples,0.086,47,
76,1,Let’s Bake Butter Tarts!,gate,For Golden Age Readers,0.572,26,PAIR
77,1,LEGO® FIFA Mini Trophy at Staples Store 57,gate,For Families,0.475,5,
78,1,OPENFRAME International Film Festival,train,For Families,0.04,13,
79,1,"CFNY- The Spirit of Radio: Doc Tour w/ Alan Cross, Ivar Hamilton, Liz Janik",train,For Couples,0.046,5,
80,1,Back to School Beauty Event,train,For Families,0.019,3,
81,1,Hebrew Library,gate,For Golden Age Readers,0.072,6,
82,1,Toronto Hakka Festival 2026,train,For Families,0.035,3,
83,1,Outdoor Sunset Yoga & Reiki,gate,For Golden Age Readers,0.52,7,
84,1,Richmond Hill Ribfest,gate,For Families,0.093,4,PAIR
85,1,Richard Hell: Godlike,train,For Families,0.079,3,
86,1,Let's Talk - Walk In Counselling Sessions,gate,For Golden Age Readers,0.194,30,PAIR
87,1,Richmond Hill 4th of July Celebration,gate,For Families,0.095,5,PAIR
88,1,Snacking on Stories,train,For Golden Age Readers,0.068,26,
89,1,lululemon Summer Series | Sculpt class at lululemon Hillcrest Mall,train,For Golden Age Readers,0.048,13,
90,1,Longevity 100,train,For Golden Age Readers,0.077,5,
91,1,REVENTON.01,train,For Golden Age Readers,0.02,0,
92,1,Sunday Morning Sweat Series I Pilates Edition,gate,For Couples,0.15,5,PAIR
93,1,Nextgen,train,For Couples,0.045,10,
94,1,Adventures in Math & Science Camp (Age 5-6),gate,For Families,0.819,30,PAIR
95,1,401 Games: One Piece Card Game -June Regional Championship - Toronto Canada,train,For Families,0.071,8,
96,1,QUEENS ROCKFEST 2026,train,For Couples,0.009,3,
97,1,Theatre Workshop Sign-up Form,gate,For Golden Age Readers,0.533,7,PAIR
98,1,Sip & Slay Fridays,gate,For Families,0.005,8,
99,1,"Russian Nights: Summer Vibes at Luna Lounge | Russian, Latin & Club Anthems",gate,For Couples,0.69,11,
100,1,Fit to Serve: Women’s HYROX Edition,train,For Golden Age Readers,0.042,21,
101,1,Ukulele Ensemble (*Hospice Vaughan Client Only),gate,For Couples,0.053,1,
102,1,Business growth and leadership,gate,For Golden Age Readers,0.041,10,
103,1,"Dropship Fashion, Beauty & Health: Launch Your Global E-commerce Business",gate,For Couples,0.177,8,
104,1,Conservation Youth Corps | Thornhill Garden Maintenance,gate,For Families,0.017,19,PAIR
105,1,Henry's Newmarket - Moon Photography Workshop,train,For Couples,0.03,4,
106,1,"Conflict Management Training — Markham, ON | In-Person & Live Virtual",train,For Families,0.102,8,
107,1,Board Game Meet up (Ages 7-13 years),gate,For Golden Age Readers,0.06,38,PAIR
108,1,Candle Craft & Scent Lab: A Beginners Experience,gate,For Golden Age Readers,0.294,15,
109,1,HOOKAHMANIA,train,For Golden Age Readers,0.094,7,
110,1,"DLDA Thursday Recital - ""Workin' Day & Night - Part 1""",train,For Couples,0.056,9,
111,1,Roblox Coding Basics (June 22-26:AM),train,For Families,0.037,5,
112,1,Markham Cycling Day,gate,For Couples,0.157,5,PAIR
113,1,A Day on the Dixie Highway,gate,For Golden Age Readers,0.174,3,
114,1,All About Easter Cooking Class,train,For Golden Age Readers,0.036,8,
115,1,Create for Your Business: Makerspace Session with GPL,gate,For Golden Age Readers,0.361,8,PAIR
116,1,Newmarket Asian Night Market 2026,gate,For Couples,0.428,14,
117,1,WORKSHOP: UX — Bringing Business and Design Together with Sarah Saccomanno,train,For Couples,0.028,6,
118,1,Somebody Anybody & DLT - RnB Brunch & Day-Party @ Lavelle (MAY EDITION),gate,For Couples,0.112,5,PAIR
119,1,🌮 Flaco’s House x Operation Kid Forward Fundraiser 🌮,train,For Couples,0.006,1,
120,1,Celebrate Your Mother and Mother Earth at this One-of-a-Kind Local Market,train,For Families,0.073,14,
121,1,Henry's Newmarket: Firework Photography Workshop,train,For Families,0.101,10,
122,1,Book Club Discussion - Yellowface,gate,For Golden Age Readers,0.579,18,
123,1,Sip & Stride Markham,gate,For Couples,0.029,8,PAIR
124,1,VTHCO 2nd Annual Badminton Tournament🏸,train,For Couples,0.018,5,
125,1,Free Workshop: Navigating Grief & Loss,gate,For Golden Age Readers,0.691,4,
126,1,Junior Engineer Explorers Camp (Age 5-6),gate,For Families,0.745,26,PAIR
127,1,Child Car Seat Clinic (Vaughan),gate,For Families,0.277,15,PAIR
128,1,Willowdale Reunion Tour 2026,train,For Golden Age Readers,0.094,3,
129,1,"Building Professional Business Connections Training – Vaughan, ON | 1 Day",train,For Golden Age Readers,0.006,7,
130,1,Jeffini's Dino Party,train,For Families,0.097,7,
131,1,How to Laser Engrave a Custom Cutting Board with Epilog,train,For Couples,0.082,25,
132,1,Princess Shadow Box,gate,For Families,0.089,6,PAIR
133,1,Germinate - Art That Grows on You,train,For Golden Age Readers,0.09,5,
134,1,Atelier de peinture – Communauté francophone (AFRY),train,For Golden Age Readers,0.03,7,
135,1,"Business Case Writing Training – Markham, ON | 1 Day Workshop",train,For Couples,0.008,6,
136,1,K-pop Dance Camp,gate,For Golden Age Readers,0.034,10,PAIR
137,1,Naynawah Conference 2026,train,For Families,0.017,5,
138,1,Ramblin'Soul @Woodbridge Ribfest X,gate,For Couples,0.06,5,
139,1,Fefe Dobson in Richmond Hill,gate,For Families,0.11,5,
140,1,Leonid & Friends,train,For Families,0.062,4,
141,1,Maker Space on the Go: Mosaic Tiles,train,For Families,0.056,5,
142,1,Chocolate & Comedy Nights - Richmond Hill,gate,For Couples,0.294,7,
143,1,Catering for a Cause,gate,For Golden Age Readers,0.06,7,
144,1,Bake Club for All Ages,gate,For Golden Age Readers,0.147,35,
145,1,Creative Age: Suminagashi,gate,For Golden Age Readers,0.537,14,PAIR
146,1,Hobby Con Vaughan,train,For Families,0.074,6,
147,1,The Fray,train,For Couples,0.072,2,
148,1,Aurora Oak Ridges Richmond Hill PLA BBQ,gate,For Couples,0.056,7,PAIR
149,1,Staycation and Summer Sips Candle Making Experience,gate,For Golden Age Readers,0.32,13,
150,1,CARS 'N' ANIME FEST,gate,For Families,0.342,9,PAIR
151,1,Voices of Tomorrow: Toronto CASG TEDEd Student Talks Showcase,train,For Golden Age Readers,0.036,12,
152,1,Friends and Family Service,gate,For Families,0.725,12,
153,1,"10 Essential Soft Skills Workshop– Markham, ON | In-Person & LiveVirtual",train,For Golden Age Readers,0.064,9,
154,1,Medventions Toronto Innovation Day 2026,train,For Couples,0.03,5,
155,1,Markham Handmade Market Festival & Artisan Fair,train,For Families,0.007,7,
156,1,Wiz Future Pathways Day,train,For Golden Age Readers,0.036,2,
157,1,TPM North July 18 - Shabbat Chazon (Devarim),train,For Families,0.003,2,
158,1,Mama$ita -- Gemini Affair 2026,gate,For Couples,0.688,14,
159,1,Oshkabewis Program – Summer Teachings for Indigenous Community Members,gate,For Golden Age Readers,0.297,8,
160,1,ISO LEGENDZ PRESENTS SKONDAT VS DUCK,train,For Families,0.089,1,
161,1,International Yoga Day Fusion Flow with lululemon Ambassadors,gate,For Golden Age Readers,0.555,11,
162,1,Your Marketing Sounding Board (IG LIVE Q&A),train,For Families,0.101,30,
163,1,"Concert in The Park featuring Gold Dust Woman: Tribute to Stevie Nicks on Wed, July 22!",gate,For Couples,0.691,23,
164,1,Holy Week with ESG: Easter Sunday,gate,For Couples,0.48,3,
165,1,Andy's Toy Roundup Party @ Dave & Buster's (Vaughan),gate,For Families,0.492,13,
166,1,Splash into Summer presented by Salty Paws Savannah - 4th Annual,train,For Families,0.088,3,
167,1,MUZZLED,gate,For Couples,0.08,1,
168,1,Set Sail,train,For Families,0.011,2,
169,1,Holland Marsh Wineries Wedding Open House,train,For Golden Age Readers,0.032,12,
170,1,Vibe & Create,gate,For Golden Age Readers,0.678,3,
171,1,Craft Cafe at The Holland Marsh Wineries,train,For Couples,0.04,7,
172,1,lululemon Summer Series | Yoga at lululemon Upper Canada Mall,train,For Couples,0.033,8,
173,1,Experience Thermomix Like Never Before,gate,For Couples,0.319,4,
174,1,Community yard sale,train,For Couples,0.02,2,
175,1,Pokemon Weekly Casual League,train,For Families,0.103,4,
176,1,2026 Women's OPL Cup Final,gate,For Couples,0.097,3,
177,1,Plant-based cooking class for ALL,train,For Families,0.065,9,
178,1,BLACK STARS KICKOFF (AFTER PARTY),train,For Families,0.06,4,
179,1,Free RPG Day at Heroes World in Richmond Hill,train,For Families,0.011,9,
180,1,SOBA CANADA GRAND LAUNCH/CONVENTION,train,For Families,0.072,11,
181,1,Beat Battle,train,For Golden Age Readers,0.105,6,
182,1,Greening Health Care Summer Conference 2026,train,For Golden Age Readers,0.027,8,
183,1,Great American Ride,train,For Families,0.007,5,
184,1,Writing Micro Fiction and Author Talk with Michael Talledes,train,For Families,0.037,50,
185,1,June Ride Out,train,For Couples,0.029,3,
186,1,"Youth Public Speaking Championship - One Canada, Many Voices",train,For Golden Age Readers,0.041,7,
187,1,VFF ‘26 – Closing Night Awards,gate,For Couples,0.382,15,
188,1,"Essential Management Skills Training — Markham, ON | 1 Day Workshop",train,For Golden Age Readers,0.017,8,
189,1,JAM! Band Shell 250th Celebration - with Lyle Anthony & Friends,train,For Golden Age Readers,0.03,5,
190,1,"Monet Inspired, Wisteria Over the Pond",train,For Golden Age Readers,0.011,2,
191,1,Make & Take: Personalized Tote Bag,train,For Golden Age Readers,0.079,7,
192,1,"Business Case Writing Training – Vaughan, ON | 1 Day Workshop",train,For Couples,0.0,5,
193,1,Nike Demo Event & Pegasus 42 Launch,train,For Families,0.03,1,
194,1,Navak Ensemble,train,For Golden Age Readers,0.034,12,
195,1,Teacher Event: McMichael in the Classroom,train,For Golden Age Readers,0.078,50,
196,1,Baby Social,gate,For Families,0.76,20,
197,1,"Renovation, Construction & Beyond",train,For Golden Age Readers,0.078,10,
198,1,Land Buying & Selling Event - April 2026,train,For Families,0.061,6,
199,1,Maker (Cricut and 3D Printing) Camp (Age 7-9),gate,For Families,0.96,32,
200,1,Kids Play Parents Plan,gate,For Families,0.92,8,
201,2,Generational Healing® Live Demonstration - Healing with Your Ancestors,gate,For Golden Age Readers,0.158,6,
202,2,RETRO,gate,For Golden Age Readers,0.113,1,
203,2,Sci-Fi Book Club,gate,For Golden Age Readers,0.675,15,
204,2,Pulsars GYM FEST 2026,gate,For Families,0.049,12,
205,2,Puppy Yoga by Yoga Kawa Vaughan Cavalier King Charles Spaniel,train,For Golden Age Readers,0.041,14,
206,2,NOCHE LOCA | CASABLANCA & VIVO CLUB,train,For Couples,0.024,7,
207,2,17th CGS-SOS Annual Golf Tournament,train,For Couples,0.053,4,
208,2,Competitive WAG Artistic Gymnastics Tryouts — The Dream Team Competitive,train,For Golden Age Readers,0.001,5,
209,2,DIY Candle for Easter Monday,train,For Families,0.016,8,
210,2,Tea Meditation: A Journey into Zen (For Adults),gate,For Golden Age Readers,0.731,7,
211,2,Ravenloft: Shadows of Sithicus Beginner Five Week Adventure,train,For Couples,0.018,5,
212,2,Breath & Expansion - Air Element Soundbath,train,For Golden Age Readers,0.099,9,
213,2,Conversations with my Father: An Intergenerational Program,train,For Families,0.096,27,
214,2,Aloha Bike Night - Season Kickoff,train,For Families,0.062,16,
215,2,2026 Richmond Hill Summer Artisan And Small Bussiness Market,gate,For Couples,0.379,16,
216,2,Vaughan Summer Company Kick Off 2026,train,For Families,0.033,8,
217,2,French Storytime/ L'Heure du conte,train,For Golden Age Readers,0.078,11,
218,2,10 Health Financial Management Habits,gate,For Golden Age Readers,0.686,33,
219,2,Summer Glow☀️Save Up to 25% + Free Gifts,gate,For Families,0.81,9,
220,2,Bilingual Crêpes,train,For Families,0.018,19,
221,2,Markham Music Festival,train,For Couples,0.044,5,
222,2,Park Golf Opening Day – The Pickleball of Golf Has Arrived (SOLD OUT),train,For Couples,0.097,7,
223,2,Live at Rouge River Brewing Company,gate,For Couples,0.573,6,
224,2,Using AI to Accelerate Innovation,gate,For Golden Age Readers,0.043,5,
