issueDate,section,slot,eventName,slug,url,vuc,vtc,sectionSize,percentileVuc
2025-01-16,For Families,1,LEGOLAND Discovery Centre,vaughan-your-weekend-fun-plan-in-3-minutes,https://www.legolanddiscoverycentre.com/toronto/,2,3,4,0.375
2025-01-16,For Families,2,‍➡️Escape Rooms,vaughan-your-weekend-fun-plan-in-3-minutes,https://escapeok.com/,3,3,4,0.625
2025-01-16,For Families,3,Reptilia Zoo,vaughan-your-weekend-fun-plan-in-3-minutes,https://reptilia.org/,0,0,4,0.125
2025-01-16,For Families,4,️ Vaughan Winterfest (indoor),vaughan-your-weekend-fun-plan-in-3-minutes,https://childslife.ca/events/category/york-region/vaughan/,20,22,4,0.875
2025-01-16,For Couples,1,Wine and Paint Night,vaughan-your-weekend-fun-plan-in-3-minutes,https://www.pinotspalette.com/woodbridge,152,213,4,0.875
2025-01-16,For Couples,2,Axe throwing,vaughan-your-weekend-fun-plan-in-3-minutes,https://batlgrounds.com/axe-throwing-vaughan,0,0,4,0.25
2025-01-16,For Couples,3,Couples Snowshoe Adventure,vaughan-your-weekend-fun-plan-in-3-minutes,https://trca.ca/programs/snowshoeing-4/,6,7,4,0.625
2025-01-16,For Couples,4,Magnotta winery,vaughan-your-weekend-fun-plan-in-3-minutes,https://www.magnotta.com/tour.aspx,0,0,4,0.25
2025-01-30,For Families,1,‍🍳 Little Kitchen Academy Vaughan,top-5-vaughan-weekend-picks,https://littlekitchenacademy.com/locations/vaughan/,19,21,5,0.5
2025-01-30,For Families,2,Richmond Hill Winter Carnival,top-5-vaughan-weekend-picks,https://www.wintercarnival.net/,31,39,5,0.9
2025-01-30,For Families,3,️ Vaughan Winterfest (outdoor),top-5-vaughan-weekend-picks,https://childslife.ca/event/vaughan-winterfest/,30,37,5,0.7
2025-01-30,For Families,4,Mufasa: The Lion King,top-5-vaughan-weekend-picks,https://imaginecinemas.com/cinema/promenade/,15,18,5,0.3
2025-01-30,For Families,5,A Day at Kortright,top-5-vaughan-weekend-picks,https://kortright.org/whats-on/calendar/#event=family-experiences-at-kortright-mapping-and-orienteering;instance=20250201133000?popup=1&lang=en-US,14,18,5,0.1
2025-01-30,For Couples,1,Jake Shimabukuro Concert,top-5-vaughan-weekend-picks,https://www.premierboxoffice.com/event/3E40,4,5,5,0.4
2025-01-30,For Couples,2,HYPROV: Improv Under Hypnosis,top-5-vaughan-weekend-picks,https://hyprov.com/tour/2023-02-03-t2lxd-2gzxf-6s3wj-xgd8j-smn24-stxr8-tk6ge-64d9r-h9hz8-emrdw-32lja-7hh2m-c9jme-fhs8z-gx5xj-8kjpa-ej5yk,4,4,5,0.4
2025-01-30,For Couples,3,"Couples Cooking Class at The Chef Upstairs Spice up your date night by cooking together; the couple that sautés together, stays together!",top-5-vaughan-weekend-picks,https://thechefupstairs.com/,18,20,5,0.7
2025-01-30,For Couples,4,Couples' Spa Day Relax together with a rejuvenating couples massage session.,top-5-vaughan-weekend-picks,https://www.tsingtaospa.com/vaughan-photogallery,60,69,5,0.9
2025-01-30,For Couples,5,The King and I - Theatrical Broadway Production Experience the classic musical. Book your tickets,top-5-vaughan-weekend-picks,https://visitvaughan.ca/calendar/event/the-king-and-i-theatrical-broadway-production/,3,3,5,0.1
2025-02-06,For Families,1,"️ Skating, Live DJ, Giveaways",your-weekend-plans-in-3-minutes,https://visitvaughan.ca/calendar/event/winter-skae-nights-at-the-sports-village/,26,30,5,0.7
2025-02-06,For Families,2,Spa packages for kids,your-weekend-plans-in-3-minutes,https://www.glamagalparty.com/spa-packages,21,22,5,0.5
2025-02-06,For Families,3,Lunar New Year Celebration 2025,your-weekend-plans-in-3-minutes,https://visitvaughan.ca/calendar/event/city-of-vaughan-lunar-new-year-1/,20,26,5,0.3
2025-02-06,For Families,4,Kids Cooking Classes,your-weekend-plans-in-3-minutes,https://thechefupstairs.com/products/vaughan-kids-cooking-classes-3-week-winter-session-saturday-february-8-march-1-2025-copy,31,34,5,0.9
2025-02-06,For Families,5,Children’s Art Classes,your-weekend-plans-in-3-minutes,https://mcmichael.com/event/saturday-art-classes-2024-2025/,13,17,5,0.1
2025-02-06,For Couples,1,Artful Yoga,your-weekend-plans-in-3-minutes,https://mcmichael.com/event/artful-yoga/,0,0,5,0.1
2025-02-06,For Couples,2,Adult Cooking Class,your-weekend-plans-in-3-minutes,https://visitvaughan.ca/calendar/event/adult-cooking-class-italian-winter-comfort-foods-1/,24,26,5,0.8
2025-02-06,For Couples,3,️ Living with Art For young adults (ages 18 and over) living with special needs opportunities.,your-weekend-plans-in-3-minutes,https://visitvaughan.ca/calendar/event/adult-cooking-class-italian-winter-comfort-foods-1/,24,26,5,0.8
2025-02-06,For Couples,4,"️ Live in Concert Messiah live directly from NYC, Latin Trap Canadian Tour",your-weekend-plans-in-3-minutes,https://allevents.in/vaughan/messiah-live-directly-from-nyc-latin-trap-canadian-tour/100001105982566629,10,11,5,0.3
2025-02-06,For Couples,5,️⛸️Outdoor Skating Fun Glide through the trees lights for evening skating.Sharp your skates,your-weekend-plans-in-3-minutes,https://www.richmondhill.ca/en/things-to-do/Outdoor-Skating.aspx,13,14,5,0.5
2025-02-06,For Golden Age Readers,1,Grandma - Grandpa & Me Cross-Stich workshop.,your-weekend-plans-in-3-minutes,https://allevents.in/vaughan/grandma-grandpa-and-me-cross-stitch-workshop/200027774401704,3,3,5,0.1
2025-02-06,For Golden Age Readers,2,Terrariums & Tranquility,your-weekend-plans-in-3-minutes,https://allevents.in/vaughan/terrariums-and-tranquility-succulent-workshop-sound-healing-and-reiki/100001200582056249,6,7,5,0.5
2025-02-06,For Golden Age Readers,3,Sunday Sip and Create,your-weekend-plans-in-3-minutes,https://mcmichael.com/event/sunday-sip-and-create/,7,7,5,0.7
2025-02-06,For Golden Age Readers,4,Curatorial Talk,your-weekend-plans-in-3-minutes,https://mcmichael.com/event/derek-sullivan-field-notes-curatorial-talk/,4,4,5,0.3
2025-02-06,For Golden Age Readers,5,Lunar New Year Celebration 2025,your-weekend-plans-in-3-minutes,https://visitvaughan.ca/calendar/event/city-of-vaughan-lunar-new-year-1/,20,26,5,0.9
2025-02-13,For Families,1,Brent and Sarah's Comedy Magic ShowTwo Toronto magicians with remarkable skill and talent.,valentine-s-day-made-special,https://tickets.cityplayhouse.ca/event/655:428/655:544/,17,21,5,0.6
